pressure,temperature_C,humidity_percent
6.0,22.32,57.83
17.0,46.51,41.54
32.0,30.29,93.42
20.0,32.68,49.07
8.0,20.45,51.42
7.0,31.64,51.33
35.0,26.95,62.82
22.0,9.65,62.21
5.0,29.4,17.12
33.0,24.51,92.4
27.0,21.97,86.9
13.0,23.89,52.22
14.0,34.97,42.13
24.0,20.08,65.75
10.0,34.39,50.49
14.0,7.77,67.76
12.0,9.41,51.34
15.0,21.2,67.28
30.0,31.97,41.11
32.0,55.36,43.76
25.0,27.63,40.49
31.0,23.38,51.9
11.0,6.47,55.79
27.0,28.82,46.73
29.0,29.98,53.57
21.0,24.4,62.57
4.0,34.32,90.88
25.0,27.86,19.81
20.0,31.08,64.31
1.0,30.45,67.15
20.0,21.15,62.01
5.0,34.25,53.15
33.0,31.5,61.94
8.0,30.26,19.26
19.0,25.44,13.67
15.0,31.67,56.66
14.0,34.73,61.54
5.0,33.63,42.37
20.0,33.1,49.57
2.0,30.85,59.53
22.0,46.36,63.43
11.0,24.5,40.38
22.0,27.17,55.3
7.0,32.06,69.08
19.0,21.38,68.23
24.0,20.06,49.33
23.0,26.92,11.17
11.0,21.71,62.39
23.0,29.79,16.4
27.0,22.89,65.24
22.0,25.46,45.31
34.0,25.93,58.76
24.0,24.64,63.89
25.0,22.96,63.43
35.0,7.31,45.71
18.0,57.15,19.88
4.0,24.09,56.65
4.0,33.69,55.55
14.0,33.46,93.05
31.0,20.96,65.63
4.0,21.09,69.68
10.0,23.97,41.88
26.0,27.25,61.77
3.0,33.99,50.92
31.0,8.69,50.04
10.0,33.87,57.87
3.0,52.98,12.06
15.0,23.17,47.54
1.0,32.97,60.52
20.0,24.16,63.99
10.0,26.61,65.79
15.0,27.4,65.32
1.0,27.56,54.84
7.0,48.56,68.71
33.0,29.83,19.05
7.0,50.83,67.88
1.0,49.7,42.74
30.0,28.81,53.68
29.0,31.49,66.76
27.0,21.44,48.33
35.0,52.81,50.9
23.0,23.87,42.47
34.0,29.2,40.81
5.0,34.91,66.1
5.0,23.69,55.22
24.0,21.4,19.78
32.0,23.53,59.18
13.0,20.14,92.12
19.0,23.14,57.84
33.0,23.53,50.74
19.0,24.03,49.63
16.0,31.41,47.79
15.0,5.75,87.69
32.0,24.38,53.63
18.0,24.49,54.53
35.0,58.1,67.16
2.0,56.68,57.05
22.0,32.81,46.42
7.0,24.28,55.42
4.0,34.85,65.0
15.0,20.1,51.17
20.0,7.47,90.78
3.0,22.11,45.9
15.0,31.57,47.74
2.0,24.05,42.78
15.0,31.85,69.9
13.0,47.01,40.92
34.0,50.39,14.57
5.0,22.06,41.68
14.0,20.86,49.71
31.0,25.0,50.6
