pressure,temperature_C,humidity_percent,voltage_mV
20,21.53,61.96,74.7
2,22.98,50.09,0.22
17,45.71,93.76,26.14
31,26.54,13.36,68.89
15,25.29,45.89,56.64
20,27.21,56.33,59.98
26,25.19,43.04,98.12
18,24.51,59.77,54.03
27,21.88,46.46,74.59
17,30.61,49.95,43.66
31,30.72,85.77,79.01
2,27.15,67.28,2.62
32,26.46,65.96,80.43
27,29.48,56.97,82.02
15,21.44,41.42,56.59
14,22.53,61.31,36.93
6,26.51,64.44,3.88
31,25.26,41.19,126.97
7,32.71,41.63,0.93
2,22.56,61.87,3.66
5,23.67,61.51,2.25
14,20.69,56.96,39.23
15,25.29,57.56,57.46
9,5.53,65.43,2.55
9,20.69,50.67,3.76
4,30.11,44.73,4.57
11,27.62,42.11,3.05
4,31.06,63.96,3.46
13,57.34,68.25,23.87
13,33.92,89.08,35.46
11,26.76,50.86,0.67
28,34.1,61.59,99.54
31,24.93,66.21,120.71
15,58.45560000000002,67.68,33.99
22,27.16,56.75,65.11
12,29.91,46.5,30.22
15,25.51,41.51,53.73
20,31.12,51.91,81.32
28,34.75,66.9,80.51
28,20.62,48.52,98.97
34,20.29,54.19,120.77
28,33.99,65.5,92.09
3,27.63,43.04,3.52
12,25.65,89.07,39.52
2,30.95,59.44,3.1
17,22.63,62.9,45.22
21,30.79,54.83,70.15
15,22.36,19.07,32.14
29,6.67,45.48,71.04
12,31.72,58.63,30.76
15,30.53,45.28,43.51
2,27.51,64.7,0.59
1,30.93,60.22,4.44
17,26.48,55.36,69.03
4,27.0,48.65,0.74
24,20.63,42.56,87.83
26,26.25,52.89,94.66
25,8.35,14.67,38.54
13,32.43,65.07,46.91
8,20.32,47.79,3.33
31,8.51,51.01,60.07
18,23.76,69.38,54.48
32,25.74,63.21,128.52
35,25.25,56.2,132.77120000000002
35,5.88,14.97,60.94
9,30.0,62.58,1.68
8,26.87,56.1,1.61
15,54.51,19.39,17.18
11,33.69,67.37,1.01
20,34.63,54.65,63.21
25,8.4,67.06,51.88
34,46.76,53.3,61.37
31,28.84,65.1,82.75
20,26.28,66.94,56.53
4,28.0,93.39,2.68
21,31.61,69.09,82.54
4,20.36,50.35,3.47
23,26.73,61.14,79.83
1,33.11,68.05,4.28
31,30.6,52.83,112.38
12,25.67,62.75,30.0
33,31.82,67.73,123.84
35,20.17,62.91,126.76
13,24.43,56.24,49.28
34,29.8,53.0,132.77120000000002
24,53.92,52.66,53.52
31,32.04,55.94,100.43
27,34.99,94.03,75.25
10,23.38,61.74,1.37
26,22.54,48.44,101.02
13,20.06,51.24,47.92
32,31.85,58.48,125.19
27,20.6,45.12,111.22
13,31.59,52.97,40.56
21,20.69,43.88,65.05
22,8.88,41.54,41.58
4,29.68,86.91,0.84
34,34.67,15.61,80.51
21,28.9,87.66,78.49
29,29.84,44.03,92.57
19,28.26,52.92,76.9
31,30.25,67.76,97.42
8,31.34,44.72,4.39
7,28.89,58.52,0.56
1,22.69,50.17,1.07
29,32.37,60.73,97.81
16,21.76,14.33,41.57
25,29.84,51.19,97.78
31,8.8,44.83,76.83
27,20.8,14.55,59.52
13,7.4,63.91,20.78
30,34.22,69.9,111.17
22,20.26,12.31,61.44
28,29.55,16.26,65.53
12,27.14,60.97,39.44
15,45.57,17.07,24.59
5,45.09,47.96,4.29
22,25.84,47.34,77.25
19,27.52,42.27,63.91
2,23.01,57.45,3.44
30,6.82,41.62,69.66
22,32.99,19.82,57.79
14,33.09,47.91,53.42
29,22.15,44.07,83.04
9,9.15,53.65,4.43
2,24.77,46.62,2.65
