steps,voltage_mV,pressure,temperature_C,humidity_percent,hour,minute
1,74.7,20,21.53,61.96,13,44
2,0.22,2,22.98,50.09,13,44
4,26.14,17,45.71,93.76,13,44
4,68.89,31,26.54,13.36,13,44
6,56.64,15,25.29,45.89,13,44
5,59.98,20,27.21,56.33,13,44
9,98.12,26,25.19,43.04,13,44
8,54.03,18,24.51,59.77,13,44
11,74.59,27,21.88,46.46,13,44
10,43.66,17,30.61,49.95,13,44
13,79.01,31,30.72,85.77,13,44
13,2.62,2,27.15,67.28,13,44
13,80.43,32,26.46,65.96,13,44
16,82.02,27,29.48,56.97,13,44
17,56.59,15,21.44,41.42,13,44
17,36.93,14,22.53,61.31,13,44
17,3.88,6,26.51,64.44,13,44
17,126.97,31,25.26,41.19,13,44
19,0.93,7,32.71,41.63,13,44
19,3.66,2,22.56,61.87,13,44
23,2.25,5,23.67,61.51,13,44
21,39.23,14,20.69,56.96,13,44
25,57.46,15,25.29,57.56,13,44
26,2.55,9,5.53,65.43,13,44
25,3.76,9,20.69,50.67,13,44
28,4.57,4,30.11,44.73,13,44
27,3.05,11,27.62,42.11,13,44
27,3.46,4,31.06,63.96,13,44
28,23.87,13,57.34,68.25,13,44
32,35.46,13,33.92,89.08,13,44
30,0.67,11,26.76,50.86,13,44
33,99.54,28,34.1,61.59,13,44
32,120.71,31,24.93,66.21,13,44
33,33.99,15,58.45560000000002,67.68,13,44
36,65.11,22,27.16,56.75,13,44
38,30.22,12,29.91,46.5,13,44
38,53.73,15,25.51,41.51,13,44
37,81.32,20,31.12,51.91,13,44
40,80.51,28,34.75,66.9,13,44
39,98.97,28,20.62,48.52,13,44
40,120.77,34,20.29,54.19,13,44
44,92.09,28,33.99,65.5,13,44
44,3.52,3,27.63,43.04,13,44
46,39.52,12,25.65,89.07,13,44
45,3.1,2,30.95,59.44,13,44
45,45.22,17,22.63,62.9,13,44
48,70.15,21,30.79,54.83,13,44
47,32.14,15,22.36,19.07,13,44
49,71.04,29,6.67,45.48,13,44
52,30.76,12,31.72,58.63,13,44
51,43.51,15,30.53,45.28,13,44
53,0.59,2,27.51,64.7,13,44
52,4.44,1,30.93,60.22,13,44
53,69.03,17,26.48,55.36,13,44
54,0.74,4,27.0,48.65,13,44
56,87.83,24,20.63,42.56,13,44
58,94.66,26,26.25,52.89,13,44
57,38.54,25,8.35,14.67,13,45
60,46.91,13,32.43,65.07,13,45
62,3.33,8,20.32,47.79,13,45
61,60.07,31,8.51,51.01,13,45
63,54.48,18,23.76,69.38,13,45
64,128.52,32,25.74,63.21,13,45
66,132.77120000000002,35,25.25,56.2,13,45
67,60.94,35,5.88,14.97,13,45
65,1.68,9,30.0,62.58,13,45
66,1.61,8,26.87,56.1,13,45
69,17.18,15,54.51,19.39,13,45
69,1.01,11,33.69,67.37,13,45
71,63.21,20,34.63,54.65,13,45
72,51.88,25,8.4,67.06,13,45
72,61.37,34,46.76,53.3,13,45
72,82.75,31,28.84,65.1,13,45
74,56.53,20,26.28,66.94,13,45
74,2.68,4,28.0,93.39,13,45
78,82.54,21,31.61,69.09,13,45
79,3.47,4,20.36,50.35,13,45
80,79.83,23,26.73,61.14,13,45
78,4.28,1,33.11,68.05,13,45
82,112.38,31,30.6,52.83,13,45
81,30.0,12,25.67,62.75,13,45
82,123.84,33,31.82,67.73,13,45
85,126.76,35,20.17,62.91,13,45
86,49.28,13,24.43,56.24,13,45
84,132.77120000000002,34,29.8,53.0,13,45
87,53.52,24,53.92,52.66,13,45
